codec,val_accuracy,test_accuracy,num_val_samples,num_test_samples
hilcodec_speech,1.0,1.0,8890,8892
socodec_16384x4_120ms_16khz_chinese,1.0,1.0,8890,8892
wavtokenizer_small_320_24k_4096,0.9995500562429697,0.9997750787224472,8890,8892
SemantiCodec_0.70kbps_16k,0.9997750281214848,0.9997750787224472,8890,8892
SemantiCodec_1.40kbps_16k,0.999437570303712,0.9993252361673415,8890,8892
llm_codec,0.9991001124859392,0.9993252361673415,8890,8892
SemantiCodec_0.35kbps_16k,0.9992125984251968,0.999212775528565,8890,8892
mini,0.9982002249718785,0.9987629329734593,8890,8892
ticodec_1g1r,0.9978627671541057,0.9971884840305892,8890,8892
spectralcodecs,0.9977502812148481,0.9967386414754836,8890,8892
audiodec_24k_320d,0.9967379077615298,0.9964012595591543,8890,8892
wavtokenizer_medium_320_24k_4096,0.9961754780652419,0.994489428699955,8890,8892
Encodec_6b24k,0.990888638920135,0.9931399010346379,8890,8892
Encodec_24b24k,0.9859392575928009,0.9809941520467836,8890,8892
FunCodec_en-libritts-16k-gr1nq32ds320,0.9871766029246344,0.9802069275753487,8890,8892
snac_44khz,0.9730033745781778,0.9754835807467387,8890,8892
ticodec_1g2r,0.9797525309336333,0.9700854700854701,8890,8892
snac_24khz,0.956355455568054,0.9556905083220872,8890,8892
FunCodec_zh_en-general-16k-nq32ds320,0.9487064116985376,0.9554655870445344,8890,8892
ticodec_1g4r,0.9338582677165355,0.9468061178587495,8890,8892
bigcodec,0.9571428571428572,0.9369095816464238,8890,8892
vocos_encodec_6,0.9358830146231721,0.9315114709851552,8890,8892
sqcodec50dim9,0.9168728908886389,0.9280251911830859,8890,8892
FACodec_encodec-decoder-v2_16k,0.9175478065241844,0.9246513720197931,8890,8892
languagecodec,0.9120359955005625,0.9123931623931624,8890,8892
HiFi_Codec_16k_320d_large_universal,0.9173228346456693,0.8968735942420153,8890,8892
SpeechTokenizer_hubert_avg,0.8529808773903262,0.8694331983805668,8890,8892
vocos_encodec_12,0.8413948256467941,0.8397435897435898,8890,8892
DAC24,0.5,0.5,8890,8892
